日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-08-31,3366.54,0.007255504459517281,26.448845325052638,4.87,0.85,4684.96,-0.016785101176509998,27.351056190554953,2.83,10591.2,,-1.298,-0.735,0.016,-0.083,-2.197,,-1.06,25.74,0,相对安全
2015-09-01,3362.08,-0.0013248023192952152,26.58515637443588,5.34,1.07,4529.78,-0.033123014924353766,27.265253149495784,3.9,10153.4,,-1.196,-0.096,-0.243,0.326,-2.351,,-0.936,28.17,0,相对安全
2015-09-02,3365.83,0.0011153809546471383,26.578298759265145,5.16,1.06,4466.57,-0.013954320077354754,27.2948288353046,6.01,9622.3,,-1.131,-0.095,0.032,0.769,-2.54,,-0.888,29.16,0,相对安全
2015-09-07,3250.49,-0.03426792202814766,26.12484707895251,5.41,0.62,4421.33,-0.010128577409511008,27.073823790467497,4.58,9784.599999999999,,-2.152,-1.343,-0.37,0.395,-2.401,,-1.519,17.97,0,相对安全
2015-09-08,3334.02,0.025697664044497914,25.84898274354492,5.21,0.47,4575.43,0.0348537657220791,26.915618361743824,5.64,9761.400000000001,,-2.665,-1.703,1.013,0.554,-2.354,,-1.456,18.91,0,相对安全
2015-09-09,3399.31,0.019582965909022754,26.279382429383908,2.89,0.67,4701.48,0.027549323233007517,27.40119407271815,3.27,9905.3,,-1.197,-1.097,0.898,-0.721,-2.235,,-1.009,26.72,0,相对安全
2015-09-10,3357.56,-0.012281904268807486,25.847874071249098,1.79,0.44,4637.7,-0.013565940937747212,27.071327175309033,2.14,9874.1,,-2.296,-1.676,-0.088,-1.35,-2.198,,-1.643,16.2,0,相对安全
2015-09-11,3347.19,-0.00308855240114847,25.592816798061673,2.01,0.33,4657.7,0.0043124824805398365,26.907950762206255,2.03,9849.2,,-2.736,-1.886,0.266,-1.349,-2.157,,-1.729,15.07,0,相对安全
2015-09-14,3281.13,-0.019735957624156364,26.14454635500271,5.57,0.62,4450.35,-0.044517680400197435,27.192100713215307,6.82,9563.5,,-1.442,-1.065,-0.568,0.92,-2.227,,-1.232,22.58,0,相对安全
2015-09-15,3152.23,-0.03928524624138641,25.706798577528343,3.29,0.44,4245.27,-0.04608176884964099,26.834831031778617,3.91,9355.800000000001,,-2.443,-1.491,-0.787,-0.644,-2.258,,-1.736,14.98,0,相对安全
2015-09-16,3309.25,0.0498123550629237,25.848834720331798,6.81,0.48,4490.13,0.057678310213484574,26.997961225582383,6.79,9381.6,,-1.914,-1.338,1.657,1.187,-2.188,,-0.975,27.38,0,相对安全
2015-09-17,3237.0,-0.02183274155775483,25.97171090634877,3.56,0.51,4407.82,-0.01833131780148911,27.210433304192083,4.05,9412.3,,-1.4,-1.22,-0.29,-0.609,-2.12,,-1.277,21.8,0,相对安全
2015-09-18,3251.27,0.004408402842137837,25.525256393337667,1.64,0.32,4449.18,0.009383323275451438,26.820929504019563,1.92,9391.0,,-2.382,-1.637,0.448,-1.715,-2.077,,-1.547,17.55,0,相对安全
